path,annotations
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/1001-A_20130624_0911_01.mp4-23725.jpg,[{"label":"Emotion-5-0-2-0-0-0-0-93-No-Yes","type":"rectangle","coordinates":{"x":337,"y":237,"width":267,"height":375}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/10023-A_20141109_2527_01.mp4-51935.jpg,[{"label":"Emotion-7-0-0-0-0-0-0-93-No","type":"rectangle","coordinates":{"x":196,"y":209,"width":73,"height":87}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/1003-A_20130624_0911_01.mp4-25660.jpg,[{"label":"Emotion-0-0-6-0-0-2-0-92-No","type":"rectangle","coordinates":{"x":314,"y":185,"width":266,"height":355}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/1004-A_20130624_0911_01.mp4-25880.jpg,[{"label":"Emotion-70-0-0-0-0-0-0-30-No","type":"rectangle","coordinates":{"x":298,"y":242,"width":237,"height":359}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/10055-A_20141109_2527_02.mp4-30595.jpg,[{"label":"Emotion-85-15-0-0-0-0-0-No","type":"rectangle","coordinates":{"x":278,"y":315,"width":111,"height":161}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/10143-A_20141122_2609_01.mp4-45825.jpg,[{"label":"Emotion-90-10-0-0-0-0-0-No","type":"rectangle","coordinates":{"x":376,"y":117,"width":268,"height":219}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/1019-A_20130624_0911_01.mp4-48875.jpg,[{"label":"Emotion-7-0-7-0-0-0-0-86-No","type":"rectangle","coordinates":{"x":367,"y":173,"width":354,"height":317}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/10430-A_20141213_2700_01.mp4-44960.jpg,[{"label":"Emotion-0-0-5-3-0-0-0-92-No","type":"rectangle","coordinates":{"x":457,"y":108,"width":45,"height":52}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/10480-A_20141214_2701_01.mp4-7620.jpg,[{"label":"Emotion-3-2-0-0-0-0-0-95-No-This picture has both an adult and a baby, however I believe the baby is wearing a headcam","type":"rectangle","coordinates":{"x":375,"y":235,"width":66,"height":82}}]
/Users/Ellie/Desktop/Headcam Emotion/face_TP_present_azure/1057-A_20130624_0911_02.mp4-46150.jpg,[{"label":"Emotion-0-0-0-8-0-0-0-92-No-There are two people in this picture","type":"rectangle","coordinates":{"x":325,"y":41,"width":53,"height":63}},{"label":"Emotion-0-0-10-0-0-0-0-90-No-There are two people in this picture","type":"rectangle","coordinates":{"x":342,"y":359,"width":152,"height":204}}]
