img_src1,short_image_path
http://langcog.stanford.edu/expts/saycam/frames/13228-S_20130619_0802_03.mp4-14425.jpg,13228-S_20130619_0802_03.mp4-14425.jpg
http://langcog.stanford.edu/expts/saycam/frames/21829-S_20141115_2429_01.mp4-1470.jpg,21829-S_20141115_2429_01.mp4-1470.jpg
http://langcog.stanford.edu/expts/saycam/frames/18318-S_20140403_1717_08.mp4-8240.jpg,18318-S_20140403_1717_08.mp4-8240.jpg
http://langcog.stanford.edu/expts/saycam/frames/16048-S_20131127_1310_05.mp4-25110.jpg,16048-S_20131127_1310_05.mp4-25110.jpg
http://langcog.stanford.edu/expts/saycam/frames/20311-S_20140816_2130_01.mp4-24360.jpg,20311-S_20140816_2130_01.mp4-24360.jpg
http://langcog.stanford.edu/expts/saycam/frames/13413-S_20130630_0813_02.AVI.mp4-3150.jpg,13413-S_20130630_0813_02.AVI.mp4-3150.jpg
http://langcog.stanford.edu/expts/saycam/frames/20790-S_20140913_2227_04.mp4-1990.jpg,20790-S_20140913_2227_04.mp4-1990.jpg
http://langcog.stanford.edu/expts/saycam/frames/15833-S_20131117_1300_05.mp4-14810.jpg,15833-S_20131117_1300_05.mp4-14810.jpg
http://langcog.stanford.edu/expts/saycam/frames/19984-S_20140720_2103_01.mp4-4980.jpg,19984-S_20140720_2103_01.mp4-4980.jpg
http://langcog.stanford.edu/expts/saycam/frames/18993-S_20140510_1823_10.mp4-7165.jpg,18993-S_20140510_1823_10.mp4-7165.jpg
http://langcog.stanford.edu/expts/saycam/frames/12368-S_20130504_0617_02.AVI.mp4-27135.jpg,12368-S_20130504_0617_02.AVI.mp4-27135.jpg
http://langcog.stanford.edu/expts/saycam/frames/19632-S_20140622_2005_01.mp4-1065.jpg,19632-S_20140622_2005_01.mp4-1065.jpg
http://langcog.stanford.edu/expts/saycam/frames/19190-S_20140528_1911_02.mp4-5605.jpg,19190-S_20140528_1911_02.mp4-5605.jpg
http://langcog.stanford.edu/expts/saycam/frames/15594-S_20131106_1220_03.mp4-18345.jpg,15594-S_20131106_1220_03.mp4-18345.jpg
http://langcog.stanford.edu/expts/saycam/frames/16008-S_20131127_1310_03.mp4-17390.jpg,16008-S_20131127_1310_03.mp4-17390.jpg
http://langcog.stanford.edu/expts/saycam/frames/20256-S_20140809_2123_03.mp4-26580.jpg,20256-S_20140809_2123_03.mp4-26580.jpg
