img_src1,short_image_path
http://langcog.stanford.edu/expts/saycam/frames/18318-S_20140403_1717_08.mp4-8240.jpg,18318-S_20140403_1717_08.mp4-8240.jpg
http://langcog.stanford.edu/expts/saycam/frames/16048-S_20131127_1310_05.mp4-25110.jpg,16048-S_20131127_1310_05.mp4-25110.jpg
http://langcog.stanford.edu/expts/saycam/frames/20311-S_20140816_2130_01.mp4-24360.jpg,20311-S_20140816_2130_01.mp4-24360.jpg
http://langcog.stanford.edu/expts/saycam/frames/19984-S_20140720_2103_01.mp4-4980.jpg,19984-S_20140720_2103_01.mp4-4980.jpg
http://langcog.stanford.edu/expts/saycam/frames/18993-S_20140510_1823_10.mp4-7165.jpg,18993-S_20140510_1823_10.mp4-7165.jpg
http://langcog.stanford.edu/expts/saycam/frames/12368-S_20130504_0617_02.AVI.mp4-27135.jpg,12368-S_20130504_0617_02.AVI.mp4-27135.jpg
http://langcog.stanford.edu/expts/saycam/frames/19632-S_20140622_2005_01.mp4-1065.jpg,19632-S_20140622_2005_01.mp4-1065.jpg
http://langcog.stanford.edu/expts/saycam/frames/15594-S_20131106_1220_03.mp4-18345.jpg,15594-S_20131106_1220_03.mp4-18345.jpg
http://langcog.stanford.edu/expts/saycam/frames/13576-S_20130706_0819_05.mp4-13020.jpg,13576-S_20130706_0819_05.mp4-13020.jpg
http://langcog.stanford.edu/expts/saycam/frames/15329-S_20131024_1207_02.mp4-12130.jpg,15329-S_20131024_1207_02.mp4-12130.jpg
http://langcog.stanford.edu/expts/saycam/frames/17473-S_20140215_1529_01.mp4-13365.jpg,17473-S_20140215_1529_01.mp4-13365.jpg
http://langcog.stanford.edu/expts/saycam/frames/18444-S_20140409_1723_03.AVI.mp4-1780.jpg,18444-S_20140409_1723_03.AVI.mp4-1780.jpg
http://langcog.stanford.edu/expts/saycam/frames/18004-S_20140312_1623_04.mp4-11580.jpg,18004-S_20140312_1623_04.mp4-11580.jpg
http://langcog.stanford.edu/expts/saycam/frames/18227-S_20140326_1709_05.mp4-10315.jpg,18227-S_20140326_1709_05.mp4-10315.jpg
http://langcog.stanford.edu/expts/saycam/frames/17737-S_20140227_1610_05.mp4-5740.jpg,17737-S_20140227_1610_05.mp4-5740.jpg
http://langcog.stanford.edu/expts/saycam/frames/16594-S_20131228_1411_04.mp4-2130.jpg,16594-S_20131228_1411_04.mp4-2130.jpg
http://langcog.stanford.edu/expts/saycam/frames/20293-S_20140815_2129_01.mp4-27095.jpg,20293-S_20140815_2129_01.mp4-27095.jpg
